eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
2,4,0,2.32687,2.37057,3.09716,1.01413,-0.189875,0.56527
2,4,1,5.21015,5.35829,2.60408,1.01426,1.06434,0.327011
2,4,2,3.92315,4.02577,1.59848,1.01188,1.10478,0.284434
2,4,3,3.27651,3.33727,1.32494,1.02007,1.17704,0.282019
2,4,4,2.75306,2.80161,1.09958,1.01271,1.06117,0.281071
2,4,5,2.29719,2.34108,0.926725,1.00936,1.00492,0.283619
2,4,6,1.88343,1.89863,0.763826,1.01905,1.36847,0.28386
2,4,7,1.48011,1.49004,0.6059,1.01643,1.75026,0.28643
2,4,8,1.10101,1.1059,0.430202,1.01131,0.137295,0.278243
2,5,0,2.32687,2.38296,3.09297,1.02638,-0.230497,0.561337
2,5,1,5.21015,5.41173,2.54688,1.02744,1.18221,0.318254
2,5,2,3.92315,4.05683,1.55479,1.02624,1.06447,0.275231
2,5,3,3.27651,3.35991,1.27843,1.02857,1.78972,0.272537
2,5,4,2.75306,2.81009,1.05743,1.02901,1.05852,0.269782
2,5,5,2.29719,2.34677,0.901175,1.02181,0.960839,0.275277
2,5,6,1.88343,1.90307,0.746289,1.02517,2.07698,0.277728
2,5,7,1.48011,1.49346,0.586323,1.02853,2.00903,0.277158
2,5,8,1.10101,1.10529,0.416394,1.02252,0.574006,0.269618
2,6,0,2.32687,2.38143,3.07094,1.04043,-0.742843,0.556305
2,6,1,5.21015,5.43664,2.47782,1.04481,1.06296,0.308231
2,6,2,3.92315,4.05673,1.47347,1.0446,1.18498,0.261217
2,6,3,3.27651,3.36584,1.23338,1.04382,1.66531,0.262449
2,6,4,2.75306,2.81126,1.025,1.03832,1.29797,0.261909
2,6,5,2.29719,2.33822,0.870735,1.03308,0.998955,0.266684
2,6,6,1.88343,1.89527,0.715183,1.03533,4.25745,0.267741
2,6,7,1.48011,1.48446,0.564236,1.03916,5.30459,0.268104
2,6,8,1.10101,1.09686,0.400757,1.03187,0.430565,0.261127
2,7,0,2.32687,2.3835,3.05328,1.05492,-1.1662,0.551361
2,7,1,5.21015,5.46692,2.42423,1.05867,1.00943,0.300218
2,7,2,3.92315,4.07103,1.41974,1.0584,1.22266,0.251303
2,7,3,3.27651,3.3657,1.18958,1.0571,1.6586,0.253117
2,7,4,2.75306,2.81911,0.982784,1.05291,1.40151,0.250966
2,7,5,2.29719,2.33634,0.833491,1.05031,0.824846,0.255141
2,7,6,1.88343,1.89295,0.680791,1.05532,4.15021,0.254657
2,7,7,1.48011,1.47607,0.53472,1.05194,-7.20215,0.255904
2,7,8,1.10101,1.08779,0.384373,1.0426,0.644231,0.251983
2,8,0,2.32687,2.40068,3.04627,1.07032,-0.862178,0.546301
2,8,1,5.21015,5.52462,2.35583,1.07471,1.06824,0.29004
2,8,2,3.92315,4.11285,1.36715,1.07291,1.28149,0.240831
2,8,3,3.27651,3.39075,1.14972,1.06858,1.7133,0.244053
2,8,4,2.75306,2.83755,0.944382,1.06993,1.26228,0.240008
2,8,5,2.29719,2.35112,0.800238,1.06376,1.15484,0.244538
2,8,6,1.88343,1.89895,0.644032,1.0762,2.88627,0.240378
2,8,7,1.48011,1.47972,0.507354,1.06855,-106.118,0.242914
2,8,8,1.10101,1.091,0.367977,1.05607,-0.0401406,0.241228
2,9,0,2.32687,2.41098,3.03058,1.08104,-0.552116,0.542004
2,9,1,5.21015,5.56487,2.30049,1.08099,1.28699,0.283273
2,9,2,3.92315,4.1343,1.2977,1.0858,1.49451,0.228874
2,9,3,3.27651,3.41053,1.09097,1.08283,1.88692,0.231641
2,9,4,2.75306,2.84511,0.906625,1.08018,1.49836,0.23072
2,9,5,2.29719,2.35854,0.761417,1.07766,1.43728,0.232866
2,9,6,1.88343,1.90391,0.625504,1.08424,2.93931,0.233526
2,9,7,1.48011,1.48158,0.489396,1.07895,33.8341,0.234497
2,9,8,1.10101,1.09351,0.350076,1.06664,-2.31601,0.230248
2,10,0,2.32687,2.41476,3.01543,1.09142,-0.591507,0.538189
2,10,1,5.21015,5.59208,2.26347,1.08891,1.3019,0.278033
2,10,2,3.92315,4.14613,1.24999,1.09695,1.53168,0.220331
2,10,3,3.27651,3.41589,1.03773,1.09812,1.91166,0.220307
2,10,4,2.75306,2.8494,0.870811,1.09113,1.61582,0.221776
2,10,5,2.29719,2.35687,0.731919,1.08577,1.7855,0.224646
